sku,product_name,category,rrp_gbp,cogs_per_unit_gbp
BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition, 32.00 , 9.00 
BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition, 22.00 , 6.50 
BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition, 28.00 , 8.00 
BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition, 24.00 , 7.00 
BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare, 12.50 , 3.80 
BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare, 13.00 , 3.90 
BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare, 13.50 , 4.00 
BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare, 15.00 , 4.50 
BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare, 19.50 , 5.80 
BL-SK-SER-02,Hydration Serum 50ml,Skincare, 14.50 , 4.20 
BL-SK-SER-03,Vitamin C Serum 50ml,Skincare, 17.50 , 5.20 
BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare, 11.00 , 3.30 
BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare, 13.00 , 3.80 
